pulse_num,min_interval_ns,max_interval_ns,max_torelance_error_ns,consider_amp,max_amp_diff_ratio,max_amp_torelance_error,outdoor_wall_distance_m,outdoor_wall_reflectivity,spoofer_frequency_mhz,spoofer_pulse_width_ns,noise_ratio,ASR,Lost Point Rate
1,250,450,20,true,0.4,0.05,50.0,0.8,1.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,2.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,3.0,5,0.03,0.9835379464285714,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,4.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,5.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,6.0,5,0.03,0.9790736607142857,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,7.0,5,0.03,0.9758184523809523,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,8.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,9.0,5,0.03,0.9760044642857143,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,10.0,5,0.03,1.0,0.0
2,250,450,20,true,0.4,0.05,50.0,0.8,1.0,5,0.03,0.2502790178571429,0.21391369047619047
2,250,450,20,true,0.4,0.05,50.0,0.8,2.0,5,0.03,0.2575334821428571,0.22079613095238093
2,250,450,20,true,0.4,0.05,50.0,0.8,3.0,5,0.03,0.30840773809523814,0.25604538690476186
2,250,450,20,true,0.4,0.05,50.0,0.8,4.0,5,0.03,0.31073288690476186,0.25399925595238093
2,250,450,20,true,0.4,0.05,50.0,0.8,5.0,5,0.03,0.33212425595238093,0.2421875
2,250,450,20,true,0.4,0.05,50.0,0.8,6.0,5,0.03,0.36988467261904767,0.2957589285714286
2,250,450,20,true,0.4,0.05,50.0,0.8,7.0,5,0.03,0.41917782738095233,0.2893415178571429
2,250,450,20,true,0.4,0.05,50.0,0.8,8.0,5,0.03,0.40076264880952384,0.27418154761904767
2,250,450,20,true,0.4,0.05,50.0,0.8,9.0,5,0.03,0.4372209821428571,0.31603422619047616
2,250,450,20,true,0.4,0.05,50.0,0.8,10.0,5,0.03,0.43229166666666663,0.26525297619047616
3,250,450,20,true,0.4,0.05,50.0,0.8,1.0,5,0.03,0.38820684523809523,0.3875558035714286
3,250,450,20,true,0.4,0.05,50.0,0.8,2.0,5,0.03,0.39880952380952384,0.3981584821428571
3,250,450,20,true,0.4,0.05,50.0,0.8,3.0,5,0.03,0.4210379464285714,0.4174107142857143
3,250,450,20,true,0.4,0.05,50.0,0.8,4.0,5,0.03,0.4263392857142857,0.42317708333333337
3,250,450,20,true,0.4,0.05,50.0,0.8,5.0,5,0.03,0.43015252976190477,0.42457217261904767
3,250,450,20,true,0.4,0.05,50.0,0.8,6.0,5,0.03,0.47609747023809523,0.46912202380952384
3,250,450,20,true,0.4,0.05,50.0,0.8,7.0,5,0.03,0.49423363095238093,0.4810267857142857
3,250,450,20,true,0.4,0.05,50.0,0.8,8.0,5,0.03,0.4732142857142857,0.4598214285714286
3,250,450,20,true,0.4,0.05,50.0,0.8,9.0,5,0.03,0.5304129464285714,0.5162760416666667
3,250,450,20,true,0.4,0.05,50.0,0.8,10.0,5,0.03,0.4994419642857143,0.47553943452380953
1,250,450,20,true,0.4,0.05,50.0,0.8,11.0,5,0.03,0.9611235119047619,0.0
2,250,450,20,true,0.4,0.05,50.0,0.8,11.0,5,0.03,0.5032552083333333,0.32635788690476186
1,250,450,20,true,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,12.0,5,0.03,0.978515625,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,14.0,5,0.03,0.9740513392857143,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,16.0,5,0.03,0.9794456845238095,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,18.0,5,0.03,0.9796316964285714,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,20.0,5,0.03,1.0,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,22.0,5,0.03,0.9830729166666666,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,24.0,5,0.03,0.9911644345238095,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9777715773809523,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,28.0,5,0.03,0.9868861607142857,0.0
1,250,450,20,true,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9942336309523809,0.0
2,250,450,20,true,0.4,0.05,50.0,0.8,0.0,5,0.03,0.224609375,0.224609375
2,250,450,20,true,0.4,0.05,50.0,0.8,12.0,5,0.03,0.5087425595238095,0.32421875
2,250,450,20,true,0.4,0.05,50.0,0.8,14.0,5,0.03,0.5558965773809523,0.3404017857142857
2,250,450,20,true,0.4,0.05,50.0,0.8,16.0,5,0.03,0.6046316964285714,0.34923735119047616
2,250,450,20,true,0.4,0.05,50.0,0.8,18.0,5,0.03,0.6365327380952381,0.35500372023809523
2,250,450,20,true,0.4,0.05,50.0,0.8,20.0,5,0.03,0.5892857142857143,0.26934523809523814
2,250,450,20,true,0.4,0.05,50.0,0.8,22.0,5,0.03,0.6974516369047619,0.35667782738095233
2,250,450,20,true,0.4,0.05,50.0,0.8,24.0,5,0.03,0.7283296130952381,0.35779389880952384
2,250,450,20,true,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9868861607142857,0.6582961309523809
2,250,450,20,true,0.4,0.05,50.0,0.8,28.0,5,0.03,0.7657180059523809,0.4045758928571429
2,250,450,20,true,0.4,0.05,50.0,0.8,30.0,5,0.03,0.7834821428571428,0.4118303571428571
3,250,450,20,true,0.4,0.05,50.0,0.8,0.0,5,0.03,0.3674665178571429,0.3674665178571429
3,250,450,20,true,0.4,0.05,50.0,0.8,12.0,5,0.03,0.5811011904761905,0.5544084821428572
3,250,450,20,true,0.4,0.05,50.0,0.8,14.0,5,0.03,0.6121651785714286,0.5731956845238095
3,250,450,20,true,0.4,0.05,50.0,0.8,16.0,5,0.03,0.6493675595238095,0.5997023809523809
3,250,450,20,true,0.4,0.05,50.0,0.8,18.0,5,0.03,0.6744791666666667,0.6115141369047619
3,250,450,20,true,0.4,0.05,50.0,0.8,20.0,5,0.03,0.6395089285714286,0.5553385416666667
3,250,450,20,true,0.4,0.05,50.0,0.8,22.0,5,0.03,0.7313058035714286,0.638671875
3,250,450,20,true,0.4,0.05,50.0,0.8,24.0,5,0.03,0.7655319940476191,0.6499255952380952
3,250,450,20,true,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9969308035714286,0.8878348214285714
3,250,450,20,true,0.4,0.05,50.0,0.8,28.0,5,0.03,0.8061755952380952,0.6899181547619048
3,250,450,20,true,0.4,0.05,50.0,0.8,30.0,5,0.03,0.8266369047619048,0.7051711309523809
1,250,450,20,false,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,2.0,5,0.03,1.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,4.0,5,0.03,1.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,6.0,5,0.03,0.9776785714285714,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,8.0,5,0.03,1.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,10.0,5,0.03,1.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,12.0,5,0.03,0.9809337797619048,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,14.0,5,0.03,0.9753534226190477,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,16.0,5,0.03,0.9800037202380952,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,18.0,5,0.03,0.9790736607142857,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,20.0,5,0.03,1.0,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,22.0,5,0.03,0.9848400297619048,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,24.0,5,0.03,0.9894903273809523,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9787946428571429,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,28.0,5,0.03,0.98828125,0.0
1,250,450,20,false,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9952566964285714,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,2.0,5,0.03,0.2036830357142857,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,4.0,5,0.03,0.3345424107142857,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,6.0,5,0.03,0.5063244047619048,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,8.0,5,0.03,0.5441778273809523,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,10.0,5,0.03,0.7462797619047619,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,12.0,5,0.03,0.8269159226190477,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,14.0,5,0.03,0.8797433035714286,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,16.0,5,0.03,0.9119233630952381,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,18.0,5,0.03,0.9144345238095238,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,20.0,5,0.03,1.0,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,22.0,5,0.03,0.9668898809523809,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,24.0,5,0.03,0.990234375,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9798177083333334,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,28.0,5,0.03,0.9889322916666666,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9951636904761905,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,2.0,5,0.03,0.0502232142857143,0.0
